Finished,Name,Class,Type,Materials,Created
No,SGD,,,,"September 18, 2022 8:27 PM"
No,wordvec,CS224n,,"Class%20in%20CUHK%20f3cc1d34ee994365a07a21b650b341e6/Lecture01-wordvecs-note.pdf, Class%20in%20CUHK%20f3cc1d34ee994365a07a21b650b341e6/Lecture01-wordvecs.pdf, Class%20in%20CUHK%20f3cc1d34ee994365a07a21b650b341e6/lecture02-wordvecs2.pdf","September 18, 2022 7:29 PM"
